ayush_term,icd_code,icd_title
Vataja Mutraghata,MB21.0,Spasmodic urinary retention
Vataja Mutrakrichra,MB20.0,Dysuria with spasmodic pain
Vataja Pandu,3A70.0,Anemia with neurological fatigue pattern
Vataja Parinama Shoola,DA44.1,Ulcer with post-digestive pain
Vataja Prameha,5A10.2,Type 2 diabetes with neuropathic tendencies
Vataja Pratishaya,CA00.0,Acute viral rhinitis
Vataja Pratishyaya,CA01.0,Rhinitis – allergic type
Vataja Pravahika,DA64.3,Spasmodic dysentery
Vataja Shoola,DD90.0,Localized abdominal pain
Vataja Shotha,MG30.0,Non-inflammatory edema
Vataja Shwasa,CA40.0,Intermittent asthma
Vataja Timira (Dry Eye–Related),9B71.4,Evaporative dry eye
Vataja Udavarta,DA16.0,Spasmodic bowel reversal
Vataja Unmada,6A40.1,Acute agitation-type psychosis
Vataja Vidradhi,NG90,Painful swelling (unspecified)
Vataja Visuchika,1A07.3,Choleric pattern dehydration
Vataja Yonivyapad,GA30.0,Vaginal atrophy/spasm pattern
Vatarakta,FA80,Chronic gout
Vatarakta Vriddhi,FA80,Chronic gout
Vatashmari,MB64.4,Obstructive uropathy
Vepathu,8A05,Tremor
Vicharchika,EA80.2,Atopic dermatitis
Vidbandha,DA93,Functional constipation
Vidradhi,1F90,Abscess
Vidradhi (Internal Abscess),1B51,Intra-abdominal abscess
Vidradhi (Skin Abscess),1F02,Cutaneous abscess
Visarpa,1C13,Erysipelas
Visarpaka,1F03,Erysipelas
Vishama Jwara,1A00.5,Intermittent fever
Vishamajwara (Intermittent Fever),1F00.1,Intermittent febrile illness
Vishwachi,FA80.2,Gouty arthropathy
Visuchika,1A07,Acute food-borne infection
Vrana,EA30,Open wound
Vrana (ulcer/wound),1C60,Chronic ulcer of skin
Vrana Shotha,BD40.1,Generalized edema/inflammation
Vranarakta,MG50.2,Hemorrhagic wound
Vranashotha,1B90,Cellulitis
Vrishana Shotha,ND01,Scrotal swelling
Vyadhi Kshata,1B90.0,Traumatic skin ulcer
Vyanga,EC20,Melasma
Yakrit Pleehodara,DB90,Hepatosplenomegaly
Yakrit Pliha Vriddhi,DB93,Enlargement of liver and spleen
Yakrit Shotha,DB90,Hepatitis (unspecified)
Yakrit Vikara,DB92,Hepatitis unspecified
Yakrit Vriddhi,DB92,Hepatomegaly
Yakrut Shotra,FB50.1,Alcoholic fatty liver
Yakrutodara,DB94.1,Hepatic ascites
Yakrutvikara,FB50.0,Fatty liver
Yakrutvriddhi,DB90,Hepatomegaly
Yoni Daha,GA10,Vaginal burning
Yoni Kandu,GA10.1,Vaginal pruritus
Yonidaha,QA42.2,Vaginal burning
Yoniroga,MS20,Vaginitis
Yonivyapad,NE82.1,Female pelvic inflammatory disease
Yonivyapad (Karnini),QA42.1,Vaginal cyst
